on x=-7..46,y=-33..20,z=-18..35
on x=-30..15,y=-49..0,z=-45..4
on x=-8..43,y=-37..11,z=-35..16
on x=-47..5,y=-29..25,z=-14..40
on x=-42..9,y=-22..25,z=-19..34
on x=-2..43,y=0..48,z=-21..31
on x=-31..16,y=-37..8,z=-20..33
on x=-49..-2,y=-6..42,z=-38..8
on x=-28..20,y=-23..25,z=0..49
on x=-38..9,y=-24..27,z=-46..-1
off x=-26..-17,y=-40..-29,z=19..30
on x=-44..10,y=-5..45,z=-1..43
off x=-7..6,y=-43..-31,z=-40..-21
on x=-31..19,y=-38..8,z=-13..34
off x=-43..-33,y=-8..6,z=-35..-21
on x=-36..18,y=-40..8,z=-5..43
off x=3..18,y=-12..7,z=2..16
on x=-31..21,y=-47..0,z=-13..37
off x=3..20,y=-25..-15,z=36..47
on x=-42..2,y=-37..12,z=-34..14
on x=17182..27777,y=-3224..32211,z=-83520..-69820
on x=-36478..-17600,y=-87666..-59437,z=-29717..5252
on x=-35375..-5332,y=58963..82354,z=-58548..-29438
on x=-79660..-71815,y=12570..33352,z=-13369..9478
on x=-3581..11638,y=3447..15178,z=78271..82991
on x=-28732..-5457,y=-13549..-440,z=69147..93149
on x=7211..14016,y=73958..76098,z=11232..26622
on x=-32794..-27104,y=62586..81224,z=19916..42688
on x=-26418..7728,y=17029..35040,z=-78387..-65296
on x=34675..40291,y=-39100..-18523,z=54280..72153
on x=-66337..-35064,y=-60743..-51833,z=2910..27347
on x=-54043..-42065,y=13429..47844,z=-73994..-38483
on x=-98305..-68993,y=-14308..13072,z=5280..30173
on x=30117..48692,y=21144..41848,z=-71520..-48131
on x=-21081..-2320,y=56156..76713,z=-64122..-39157
on x=-79875..-64249,y=28448..48945,z=1967..18595
on x=56776..76217,y=-41516..-19616,z=28927..47003
on x=6624..27937,y=-45590..-25488,z=51348..72678
on x=-74468..-64170,y=19919..45774,z=-18124..8803
on x=-6934..12496,y=6893..23925,z=-84297..-77488
on x=-13522..4546,y=-96987..-64778,z=2079..19539
on x=38976..56544,y=2517..15251,z=-74977..-45634
