20-45,13-44
7-8,8-28
3-39,14-97
35-99,35-98
18-49,17-19
33-34,34-46
46-58,58-75
4-93,25-97
92-99,7-91
61-62,24-61
35-62,34-63
85-87,3-86
9-49,7-48
5-87,87-95
3-3,3-82
13-63,25-62
4-99,1-98
72-80,74-77
9-96,95-97
50-68,51-76
34-80,33-33
37-98,21-37
9-71,10-72
40-94,39-94
1-88,88-92
46-47,46-51
14-59,14-60
69-99,22-95
9-66,9-65
62-69,64-69
6-40,16-70
58-97,9-82
12-56,12-46
71-85,25-70
70-86,86-97
47-70,46-69
11-65,65-66
56-58,57-85
33-66,33-65
67-67,10-67
21-55,20-22
15-72,15-71
19-92,45-93
38-82,38-83
23-90,90-90
96-98,5-97
33-38,32-33
42-42,26-41
31-92,30-93
22-58,4-47
3-49,49-59
29-61,11-12
5-81,4-81
68-91,67-92
6-87,5-86
73-73,59-74
16-70,26-31
25-58,24-67
2-47,47-54
5-73,4-74
58-98,1-99
7-94,95-97
11-63,11-12
25-54,53-55
90-94,93-95
6-61,7-62
47-63,27-62
30-46,47-47
67-94,94-95
60-95,95-96
35-83,83-84
20-82,19-82
28-29,28-88
32-45,46-66
55-78,79-79
21-55,20-21
8-10,11-98
21-71,20-20
18-19,19-21
23-76,24-76
22-96,23-95
66-97,66-98
89-91,25-90
21-64,21-26
77-80,77-86
32-89,24-88
37-93,36-36
33-59,60-98
7-91,6-7
2-86,2-56
85-97,86-96
80-80,42-80
16-87,27-86
4-94,5-93
34-37,36-38
6-92,3-6
22-85,21-21
9-9,9-92
31-87,31-86
58-98,97-99
1-98,1-87
6-66,5-67
27-54,28-55
6-27,12-38
22-29,4-28
19-19,20-88
64-98,64-85
6-97,6-86
13-72,72-73
6-12,12-75
11-34,10-16
18-89,7-18
9-67,3-9
5-6,5-46
45-53,53-56
48-95,14-50
93-99,4-93
19-35,20-35
22-77,21-78
13-71,12-71
24-39,23-39
64-78,15-65
11-41,10-11
49-75,3-76
40-87,87-99
42-44,17-43
37-94,28-93
56-58,53-57
98-98,3-98
13-72,12-73
39-86,40-86
18-18,19-37
24-89,25-64
45-71,44-71
7-69,8-69
6-87,1-88
45-88,44-45
83-96,78-95
7-65,64-73
11-96,8-97
32-52,14-31
40-94,40-93
12-17,8-18
27-43,28-42
37-95,10-95
22-93,20-23
37-84,36-85
3-98,98-98
25-92,1-81
68-73,56-74
75-78,72-89
31-80,80-80
33-85,56-86
7-98,4-99
25-52,51-66
80-87,1-80
7-99,2-8
14-56,13-13
32-52,33-98
33-87,33-87
33-98,34-75
52-53,52-75
1-6,5-20
65-98,82-86
9-99,4-98
19-60,11-12
3-77,4-82
18-78,18-88
3-7,7-99
17-89,17-90
61-94,26-87
51-73,51-73
30-87,30-30
6-67,19-66
2-86,2-98
20-82,19-20
39-82,38-88
4-95,4-98
5-46,33-46
