seeds: 3037945983 743948277 2623786093 391282324 195281306 62641412 769611781 377903357 2392990228 144218002 1179463071 45174621 2129467491 226193957 1994898626 92402726 1555863421 340215202 426882817 207194644

seed-to-soil map:
3078006360 2182201339 30483272
803630304 624445326 165226844
2393736333 2745251526 281120946
717936870 789672170 85693434
598717319 410599330 27984688
3999095007 2024628810 157572529
3605588191 3026372472 22322803
3555659576 2678166775 3396919
968857148 438584018 1780307
3216227818 2212684611 87459567
2302084376 4122083708 91651957
970637455 0 188112122
507182228 299146916 40412346
1372302034 1689624457 202945009
1370123632 191483770 2178402
324787204 193662172 105484744
3116425470 2671328191 6838584
626702007 875365604 82756204
1575247043 978774853 317322423
3134996187 4213735665 81231631
2024628810 2681563694 63687832
714565222 188112122 3371648
547594574 1620884480 51122745
3529388087 3374604163 26271489
709458211 973428243 5107011
2713008276 3985570976 98361735
2088316642 3048695275 213767734
3627910994 2300144178 371184013
2674857279 4083932711 38150997
1229789645 958121808 15306435
4156667536 3328662676 45941487
0 1296097276 324787204
3108489632 3320726838 7935838
4202609023 3667512001 92358273
1352266801 978535254 239599
1352506400 1672007225 17617232
1245096080 440364325 107170721
2811370011 3400875652 266636349
430271948 547535046 76910280
1158749577 339559262 71040068
3559056495 3262463009 46531696
3123264054 3308994705 11732133
3303687385 3759870274 225700702

soil-to-fertilizer map:
2937874770 2957653952 339980892
1886469734 2145122669 192293654
3277855662 822424488 19779182
2622882196 2393077006 314992574
3449876679 3769116301 525850995
583550735 842203670 1302918999
2145755543 345297835 477126653
2078763388 2890661797 66992155
2650514 2708069580 182592217
0 2337416323 2650514
530540566 2340066837 53010169
185242731 0 345297835
3975727674 3449876679 319239622

fertilizer-to-water map:
861477134 5168332 68211907
136969509 2229711837 29094441
2823248929 1150509810 118368045
3678888284 3073610919 53498438
3948051821 3682691325 96234592
1302827191 2387840795 504257794
1198743248 1926818347 104083943
1807084985 1104177008 46332802
2143096098 619653304 259805223
2063436946 2385211148 2629647
2066066593 445026117 35759449
358008423 537865723 81787581
621204445 0 5168332
2724438904 1861632296 65186051
1853417787 2258806278 126404870
3933311080 4141091197 14740741
851739278 2892098589 9737856
4044286413 3029323079 44287840
1979822657 1778018007 83614289
2101826042 2084781230 3070511
4088574253 4268409625 26557671
929689041 111346117 211974050
3566310597 4155831938 112577687
439796004 2030902290 53878940
166063950 1490707297 191944473
8760514 888219041 128208995
3794695843 3778925917 57203243
3029323079 3127109357 409045756
2792635116 77722143 30613813
3438368835 4013149435 127941762
3732386722 3620382204 62309121
2402901321 1682651770 95366237
0 879458527 8760514
493674944 2901836445 39780529
3851899086 3536155113 81411994
2498267558 1268877855 221829442
4117947021 3836129160 177020275
2789624955 108335956 3010161
1141663091 480785566 57080157
2104896553 406826572 38199545
533455473 1016428036 87748972
626372777 2087851741 141860096
2720097000 73380239 4341904
4115131924 3617567107 2815097
768232873 323320167 83506405

water-to-light map:
3846882465 367033980 98093832
1878565977 3292746518 62917983
4255729420 661438934 39237876
469590509 2191298319 301681796
381948234 1999013894 87642275
3688496086 199351627 156562666
1300818753 2086656169 104642150
806539912 2798447654 224466318
1265336919 355914293 11119687
1405460903 1914042148 28882526
2577391070 1942924674 56089220
3680239306 4136990116 8256780
1941483960 700676810 607954854
3845058752 3022913972 1823713
4239658038 1308631664 16071382
2566162195 4254580741 11228875
1671792383 3831845903 10462472
3944976297 3842308375 294681741
3290662499 3160062910 132683608
2549438814 1324703046 16723381
3423346107 1341426427 27108304
1031006230 3355664501 234330689
1276456606 4145246896 24362147
3450454411 54538430 144813197
1682254855 465127812 196311122
54538430 1403802338 272790856
2633480290 2492980115 305467539
3595267608 4169609043 84971698
3242064105 3644614138 48598394
3077581200 4265809616 29157680
771272305 1368534731 35267607
1434343429 1676593194 237448954
327329286 3589995190 54618948
3106738880 3024737685 135325225
2938947829 3693212532 138633371

light-to-temperature map:
2777813298 2971073270 586210802
1687968665 0 334152507
4159107034 3882460035 135860262
0 2095520416 192800212
3640671099 3557284072 3145370
