LRRLRLRRRLLRLRRRLRLLRLRLRRLRLRRLRRLRLRLLRRRLRRLLRRRLRRLRRRLRRLRLRLLRRLRLRRLLRRRLLLRRRLLLRRLRLRRLRLLRRRLRRLRRRLRRLLRRRLRRRLRRRLRLRRLRLRRRLRRRLRRLRLRRLLRRRLRRLLRRLRRLRLRLRRRLRLLRRRLRRLRRRLLRRLLLLLRRRLRRLLLRRRLRRRLRRLRLLLLLRLRRRLRRRLRLRRLLLLRLRRRLLRRRLRRRLRLRLRRLRRLRRLRLRLLLRLRRLRRLRRRLRRRLLRRRR

RBX = (TMF, KTP)
RBP = (MKS, MKS)
CGR = (XDR, VDX)
KBX = (DGP, JKM)
BNJ = (NJC, QRL)
BXQ = (DKX, CJQ)
NDX = (PHJ, TRQ)
KFQ = (KXN, GBQ)
LRF = (CTS, MTT)
RTN = (VMK, JTK)
QKP = (FDS, SFG)
BVB = (BHS, VRQ)
NBT = (BPJ, DFF)
HQM = (QMV, XVG)
XMR = (RKH, NJQ)
PHC = (XHP, DKM)
HTX = (BXK, BQP)
TPJ = (TNQ, QDX)
RDJ = (KHB, MFG)
XTF = (PPR, FHG)
DVA = (DBM, MVD)
HFP = (CXV, VCD)
HPS = (GTD, NBL)
LBK = (FVN, LHX)
KKS = (FKM, LHN)
FJV = (LVN, PLP)
MLH = (SFR, RJK)
SVQ = (RCS, FFD)
PTB = (TMC, QCR)
RFL = (RXP, VRL)
PTH = (XTS, GFG)
QNM = (TJR, MHX)
BJT = (PJG, SHG)
JJD = (FMJ, QVV)
GMX = (CLD, QRM)
DGZ = (BSL, BRS)
BVM = (SFC, JGD)
GNQ = (PLP, LVN)
XPG = (VLH, BCM)
PND = (RXV, VGM)
RNV = (GVL, MTB)
JSG = (QVP, XCX)
QHP = (KQG, BML)
XBK = (NPP, CRN)
QRL = (RQH, BGH)
HDJ = (VRQ, BHS)
XPD = (HSB, LRC)
KJK = (XCV, MDG)
NJB = (RKL, SHQ)
MCQ = (XFT, MRQ)
QRC = (XVS, CSN)
FCT = (DFF, BPJ)
MTF = (PQT, CNQ)
RXG = (QVP, XCX)
MVZ = (QRC, GHJ)
RKL = (QQM, BFT)
VRT = (GMJ, BDK)
BNS = (HQV, HPS)
JSQ = (HTC, PGD)
BHB = (VGQ, BTM)
NLP = (RKB, XQB)
FGF = (CVK, VRT)
FPM = (GDS, LTG)
BCX = (NDX, GSL)
GVL = (VCX, PSP)
KRM = (MHK, JCX)
GLJ = (XNX, RKP)
LBV = (FDC, TPJ)
GSP = (KMC, LQR)
TFR = (HXJ, MFJ)
DLX = (FNK, GLJ)
DKX = (XSR, LHP)
SVR = (KPX, QTM)
JMT = (GXV, RTX)
XSX = (HHD, HHD)
RJF = (BRH, HGP)
BDK = (TGX, HKP)
TFF = (DSX, DSX)
TJR = (BKB, LCB)
BDQ = (CLD, QRM)
NTC = (BQL, BQL)
CVS = (RQC, FFV)
BML = (VNT, JRH)
CBK = (TGB, RTN)
HQV = (GTD, NBL)
PDT = (SRQ, MLD)
RXV = (KJK, FCD)
XTS = (SCG, KQJ)
PXG = (LKG, MTQ)
PCX = (FKJ, FCV)
HKR = (LMK, BJR)
CKK = (XSX, XSX)
TNP = (TDH, JPR)
PCH = (RBP, PQH)
KHB = (RQR, BXQ)
CJZ = (CNC, HJX)
JPN = (FRP, QTB)
RKP = (NKH, FQC)
BDP = (GCM, VKT)
HQX = (TQF, NJB)
PFV = (FPM, VNP)
NFQ = (GFX, GXH)
STX = (MCQ, DNS)
CKX = (CFS, BNS)
NRJ = (SBG, TLK)
